n,p,n_dist,n_over,er,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi
50000,100,0,25,0.01,1,identity,0,0.7229198500462268,0.7294827415566515,0.03350225796245107,0.034928738819188856
50000,100,0,25,0.01,1,identity,1,0.646343558034271,0.6702161382557388,0.02956859235962751,0.030699726408213272
50000,100,0,25,0.01,1,identity,2,0.7277710624810838,0.738365983460945,0.04461729206218611,0.03168332546749439
50000,100,0,25,0.01,1,identity,3,0.7209095195335988,0.7206333818064308,0.027255270642007737,0.02797113910901939
50000,100,0,25,0.01,1,identity,4,0.7552840304856434,0.7612073055028463,0.045327321080268386,0.041995260724103964
50000,100,0,25,0.01,1,identity,5,0.7126613960584206,0.716826967013005,0.035808548502650195,0.036435719293187285
50000,100,0,25,0.01,1,identity,6,0.7279649312817646,0.7427418795600635,0.04286690864750193,0.04779198580872561
50000,100,0,25,0.01,1,identity,7,0.680254825895436,0.6973394950023134,0.025715569780552724,0.031314119486110924
50000,100,0,25,0.01,1,identity,8,0.7227632254750899,0.7283204930662557,0.0228683275234327,0.026915675875558657
50000,100,0,25,0.01,1,identity,9,0.6754646661461374,0.6898167361878031,0.026853040212277156,0.027191343471677044
50000,100,0,25,0.01,1,identity,10,0.7271894633428028,0.7261915058291807,0.039547540147425314,0.04026308999075452
50000,100,0,25,0.01,1,identity,11,0.7574851032968757,0.7710011662550472,0.050564913601597455,0.06251895899853728
50000,100,0,25,0.01,1,identity,12,0.7260185006406769,0.7225170700882906,0.04902001832025069,0.048022714233324264
50000,100,0,25,0.01,1,identity,13,0.7226120749683381,0.7508850966613012,0.048925770543221066,0.045793158222301664
50000,100,0,25,0.01,1,identity,14,0.6700775563713982,0.6607755380585508,0.02082791353406477,0.02127157909516216
50000,100,0,25,0.01,1,identity,15,0.6595184218830573,0.6749065500883831,0.03258638532112876,0.0276651098663072
50000,100,0,25,0.01,1,identity,16,0.7195543498316344,0.7236618674754371,0.04594130117032389,0.04851658961851799
50000,100,0,25,0.01,1,identity,17,0.7467082155015581,0.77635209270016,0.03787798851782163,0.04582895171042729
50000,100,0,25,0.01,1,identity,18,0.7260520145906907,0.7407181171764887,0.040430094884537235,0.04193901277087221
50000,100,0,25,0.01,1,identity,19,0.6965987026615613,0.7014110607870452,0.03158098988425096,0.03417380272647197
50000,100,0,25,0.01,1,identity,20,0.6495305578423302,0.6501051099611903,0.023295925199454694,0.0230343747105166
50000,100,0,25,0.01,1,identity,21,0.7967818956054726,0.8071415970833824,0.05522758838201098,0.057383755952632884
50000,100,0,25,0.01,1,identity,22,0.7322608484848485,0.7521881212121212,0.04220639124527656,0.05351129983484935
50000,100,0,25,0.01,1,identity,23,0.7567299465736407,0.7667715592709434,0.0462518209561331,0.05810762409209228
50000,100,0,25,0.01,1,identity,24,0.697499106878488,0.712284408621056,0.04191395704554628,0.05422863575435604
50000,100,0,25,0.01,1,relu,0,0.7251177397824077,0.7294688614182847,0.0344428223838743,0.035054310619839144
50000,100,0,25,0.01,1,relu,1,0.6470950028289687,0.500121241513094,0.03016425659163706,0.010242458189965591
50000,100,0,25,0.01,1,relu,2,0.7237531636566891,0.7380426466247958,0.04348757851129207,0.03299886778730346
50000,100,0,25,0.01,1,relu,3,0.4999596057521409,0.4999596057521409,0.00976,0.00976
50000,100,0,25,0.01,1,relu,4,0.7553687417895198,0.7613402370873908,0.03808649759711617,0.04356154420831429
50000,100,0,25,0.01,1,relu,5,0.6706821017529528,0.7166472236054616,0.03347516881574013,0.03641051263787714
50000,100,0,25,0.01,1,relu,6,0.7273439977216556,0.7404630057525021,0.03893525649742949,0.046274411247719305
50000,100,0,25,0.01,1,relu,7,0.677507535542299,0.6434651585543805,0.025880851558542424,0.028837025942081117
50000,100,0,25,0.01,1,relu,8,0.49995964487489913,0.49995964487489913,0.0088,0.0088
50000,100,0,25,0.01,1,relu,9,0.6786112889195266,0.6894814403185076,0.02630538049891535,0.027094061004069376
50000,100,0,25,0.01,1,relu,10,0.696164073085973,0.7217173296431083,0.04099810647074093,0.04110068173958583
50000,100,0,25,0.01,1,relu,11,0.7593447410717785,0.7149284321219963,0.05228028464449298,0.021266924559796722
50000,100,0,25,0.01,1,relu,12,0.677410963472644,0.6917582629759,0.03151019979107212,0.041402437011224695
50000,100,0,25,0.01,1,relu,13,0.6844716358482339,0.7513884818263935,0.03666785852847759,0.04621013537019862
50000,100,0,25,0.01,1,relu,14,0.6688467370138615,0.6640318537845611,0.017321935324533168,0.020377491703540078
50000,100,0,25,0.01,1,relu,15,0.5711611135483771,0.6173857884299132,0.02585552029162095,0.039375102862011305
50000,100,0,25,0.01,1,relu,16,0.4998789150791088,0.6891991529821486,0.00896,0.04718637106091167
50000,100,0,25,0.01,1,relu,17,0.7451834181617695,0.7755971339761969,0.037617644742629734,0.04499348987981276
50000,100,0,25,0.01,1,relu,18,0.7263464979853715,0.7409405822249673,0.036748420577924136,0.04228004936545524
50000,100,0,25,0.01,1,relu,19,0.49991917885718906,0.6970295366275691,0.01016,0.0340174977501001
50000,100,0,25,0.01,1,relu,20,0.6477229850248931,0.6517626131953428,0.023743586596312097,0.02341897835309165
50000,100,0,25,0.01,1,relu,21,0.7637570930847936,0.8071679358265711,0.04870433010291909,0.057572748102529575
50000,100,0,25,0.01,1,relu,22,0.7272998787878788,0.7517821414141416,0.045792193503086664,0.05301137761254588
50000,100,0,25,0.01,1,relu,23,0.720731387522548,0.7681572144126676,0.03991528804525736,0.059371551986328014
50000,100,0,25,0.01,1,relu,24,0.6955072293153822,0.7120968658442304,0.0420688931090839,0.053811777566066615
50000,100,0,25,0.01,10,identity,0,0.7181143047499041,0.7185234670895884,0.03505967970931214,0.0338593252662944
50000,100,0,25,0.01,10,identity,1,0.6384811722033623,0.6492104146459747,0.02901714412368803,0.028953045706281873
50000,100,0,25,0.01,10,identity,2,0.7136526472576837,0.727297336418819,0.04585661880674467,0.0421595546327924
50000,100,0,25,0.01,10,identity,3,0.7234748853730442,0.7173223778835534,0.02835033387946088,0.027611363735366726
50000,100,0,25,0.01,10,identity,4,0.751395781637717,0.7527980795295787,0.043387458082428464,0.045915870466362335
50000,100,0,25,0.01,10,identity,5,0.7053779414041155,0.7096316355857443,0.032222911934639734,0.03606953618768378
50000,100,0,25,0.01,10,identity,6,0.7241509276154512,0.725979849567861,0.03983959310723006,0.0387485597281674
50000,100,0,25,0.01,10,identity,7,0.6680877654550482,0.6707625065362788,0.024314411658315042,0.02338676812036989
50000,100,0,25,0.01,10,identity,8,0.7236671802773499,0.7252190182698658,0.02290678583636791,0.02195654157386299
50000,100,0,25,0.01,10,identity,9,0.6744833981650171,0.6769746699211469,0.02502786059413722,0.024609670773572317
50000,100,0,25,0.01,10,identity,10,0.7332620348131934,0.721169007431457,0.04174404930830187,0.04206498239925603
50000,100,0,25,0.01,10,identity,11,0.7505714894743032,0.7626321837390725,0.04779284816356494,0.05068860348500102
50000,100,0,25,0.01,10,identity,12,0.7226237910515876,0.7251268189078655,0.053802499314624906,0.04472709849912616
50000,100,0,25,0.01,10,identity,13,0.7142468016014858,0.7270871290288339,0.04570509623895258,0.04950539950393248
50000,100,0,25,0.01,10,identity,14,0.6569246576923965,0.6729451923002917,0.018953684854540735,0.02155231212978221
50000,100,0,25,0.01,10,identity,15,0.6597935763928975,0.6612661981984754,0.028433581069586218,0.035541569294412725
50000,100,0,25,0.01,10,identity,16,0.7099389097744361,0.716669213293971,0.04357549768534637,0.04417924538511579
50000,100,0,25,0.01,10,identity,17,0.7470379225791396,0.7508644042443717,0.037479085458507706,0.03542373119596052
50000,100,0,25,0.01,10,identity,18,0.7301921268488165,0.7241516351935182,0.03797559114327499,0.030872516029346868
50000,100,0,25,0.01,10,identity,19,0.6770597140967982,0.700306293039645,0.030123765778468266,0.031557628928642924
50000,100,0,25,0.01,10,identity,20,0.6504168871770748,0.6470982055353012,0.023071703051944635,0.02332369530145939
50000,100,0,25,0.01,10,identity,21,0.7940298032067115,0.7935710190520994,0.06095058786542832,0.05561668572995441
50000,100,0,25,0.01,10,identity,22,0.7288882424242423,0.7200090505050505,0.044070671903638614,0.042547367555964465
50000,100,0,25,0.01,10,identity,23,0.7543499969538763,0.7666252128975521,0.04547980916656927,0.045845823337661025
50000,100,0,25,0.01,10,identity,24,0.6966164327223414,0.6977289487055217,0.044135688363427066,0.047300909936132
50000,100,0,25,0.01,10,relu,0,0.5812307941128901,0.6092324645573683,0.017567133384080457,0.02241013938101361
50000,100,0,25,0.01,10,relu,1,0.6031064348933075,0.6006203524086647,0.017558275279672277,0.01539808897278332
50000,100,0,25,0.01,10,relu,2,0.6380927137046569,0.6871308806103797,0.019573977264134318,0.02422033471864422
50000,100,0,25,0.01,10,relu,3,0.6093300117341979,0.6084976253479865,0.013914680348922244,0.015561834641534468
50000,100,0,25,0.01,10,relu,4,0.5829030433513356,0.6552829878849804,0.013502738492648865,0.018825809985692138
50000,100,0,25,0.01,10,relu,5,0.5986844927365944,0.6035522519447724,0.026541952100981123,0.022267749542037245
50000,100,0,25,0.01,10,relu,6,0.6233971788548036,0.6607770615602954,0.02169181795642891,0.026437598840871476
50000,100,0,25,0.01,10,relu,7,0.5608886875152285,0.612523236299823,0.01276428557257768,0.01763106381907558
50000,100,0,25,0.01,10,relu,8,0.6488333700198107,0.6999479052021425,0.018321927802823386,0.018347705609844854
50000,100,0,25,0.01,10,relu,9,0.5487017250151821,0.5871018947733704,0.014566188066623628,0.016556217719353134
50000,100,0,25,0.01,10,relu,10,0.6250601546612378,0.637221930227246,0.022292797485987448,0.028205100055648358
50000,100,0,25,0.01,10,relu,11,0.6853904504292603,0.7085268924693247,0.030305404513216463,0.029849366792036584
50000,100,0,25,0.01,10,relu,12,0.6638535395201067,0.668436221937477,0.028869991828671553,0.029207275028203833
50000,100,0,25,0.01,10,relu,13,0.6245227354510671,0.651113355796507,0.02537063725220521,0.04189431423287367
50000,100,0,25,0.01,10,relu,14,0.5858174205515404,0.590701573447654,0.014625888962486264,0.014260564692218144
50000,100,0,25,0.01,10,relu,15,0.5719403973000223,0.5922011334569924,0.014775629231992231,0.014489344100988158
50000,100,0,25,0.01,10,relu,16,0.5876705279302551,0.6472133170349185,0.012686740430311767,0.0199662830333782
50000,100,0,25,0.01,10,relu,17,0.6363761667988889,0.6712311387581242,0.012668847087308668,0.016200277404242354
50000,100,0,25,0.01,10,relu,18,0.5771919782874112,0.6533036813817871,0.011384546245757183,0.018153663077827488
50000,100,0,25,0.01,10,relu,19,0.56134165642614,0.6053949067406742,0.013889911524680183,0.01931348377612978
50000,100,0,25,0.01,10,relu,20,0.5522603541887178,0.5876002097298992,0.014888335487769085,0.01459842942038974
50000,100,0,25,0.01,10,relu,21,0.6971889823199655,0.7015630512760204,0.030356831288689753,0.029957116614316118
50000,100,0,25,0.01,10,relu,22,0.6505897373737375,0.6627969292929293,0.021235344873654256,0.022946547507176583
50000,100,0,25,0.01,10,relu,23,0.6153328618463747,0.6345605238273087,0.01399739907521531,0.016470015694330955
50000,100,0,25,0.01,10,relu,24,0.5870955280730642,0.6274427064461204,0.016621135812252254,0.025548690388842738
50000,100,0,25,0.01,25,identity,0,0.7303891749404361,0.7179996427373081,0.03421275116694384,0.03127946822817455
50000,100,0,25,0.01,25,identity,1,0.6272347589314582,0.6319208697057872,0.024367470467510012,0.03032061363037564
50000,100,0,25,0.01,25,identity,2,0.7054908986320221,0.7245445869591236,0.03483863022627872,0.03553736733585658
50000,100,0,25,0.01,25,identity,3,0.7168628105390581,0.7212260515086257,0.027005159688449274,0.027930010909607846
50000,100,0,25,0.01,25,identity,4,0.748617902495986,0.7489489282065184,0.041479958585935894,0.03518029823126687
50000,100,0,25,0.01,25,identity,5,0.6882027710791692,0.6940305605756265,0.031670526601651844,0.031738619734975215
50000,100,0,25,0.01,25,identity,6,0.7289505905221083,0.7309044402837133,0.039191752808794236,0.04727859091146128
50000,100,0,25,0.01,25,identity,7,0.6547284330178581,0.6625897626133069,0.022955916387051425,0.024172612441598296
50000,100,0,25,0.01,25,identity,8,0.7044397974906449,0.7194607087827427,0.01945984648214595,0.022919431746723208
50000,100,0,25,0.01,25,identity,9,0.6655617143701245,0.6811172152153983,0.02470923318046621,0.025977266818869048
50000,100,0,25,0.01,25,identity,10,0.7253116399546706,0.7224003761190986,0.041032757086106916,0.03546690194017951
50000,100,0,25,0.01,25,identity,11,0.7472705711709591,0.7504673595593712,0.05251934308987808,0.056987701879963534
50000,100,0,25,0.01,25,identity,12,0.7144814028189781,0.7333696090993663,0.03329719436710302,0.042589445478843954
50000,100,0,25,0.01,25,identity,13,0.7080646442689199,0.7087956877115937,0.040801006286947245,0.047951248010932396
50000,100,0,25,0.01,25,identity,14,0.6696965732039274,0.6605080801783566,0.021734858265137037,0.01952715850708898
50000,100,0,25,0.01,25,identity,15,0.6623918302841852,0.6423286409547926,0.029664049942103088,0.021175762499913344
50000,100,0,25,0.01,25,identity,16,0.7060836523824899,0.7121760978366161,0.040028662027853726,0.043048788893418344
50000,100,0,25,0.01,25,identity,17,0.7258583543936014,0.7496575666991153,0.03580736498120467,0.03621093930780184
50000,100,0,25,0.01,25,identity,18,0.7274297896536408,0.716769566178073,0.03927725498774316,0.03669398656130241
50000,100,0,25,0.01,25,identity,19,0.6995979943628845,0.7037866932761264,0.029825328972826182,0.03159540456778346
50000,100,0,25,0.01,25,identity,20,0.6358607501274061,0.637869844956682,0.02434974480166125,0.023547363974486563
50000,100,0,25,0.01,25,identity,21,0.7962826845427105,0.7834832804108354,0.05564281591073829,0.04803079869154049
50000,100,0,25,0.01,25,identity,22,0.7327146666666666,0.7298372525252526,0.03380424133687253,0.04201435937952634
50000,100,0,25,0.01,25,identity,23,0.7357474525135818,0.7439176857936741,0.04418019741243456,0.037223188762897444
50000,100,0,25,0.01,25,identity,24,0.6997440143021753,0.6824686744955584,0.040141483192043075,0.03475745740465379
50000,100,0,25,0.01,25,relu,0,0.6047926307327989,0.5900006276236478,0.016120149794262045,0.015158749546228222
50000,100,0,25,0.01,25,relu,1,0.5111763205221468,0.513255107298739,0.012905363195549552,0.013380323493031938
50000,100,0,25,0.01,25,relu,2,0.5835258628738503,0.6114894862265401,0.01438280773473789,0.01483219411294048
50000,100,0,25,0.01,25,relu,3,0.5847583894217399,0.6272769773977627,0.01339501341195646,0.016249859532244018
50000,100,0,25,0.01,25,relu,4,0.6305120993806952,0.5694886825698021,0.017033417868234226,0.012511103887519161
50000,100,0,25,0.01,25,relu,5,0.5597647995732784,0.5572148211145116,0.017735331906084506,0.017562896736318417
50000,100,0,25,0.01,25,relu,6,0.6382328855518343,0.6269163317172123,0.020673358101321575,0.03280649770657437
50000,100,0,25,0.01,25,relu,7,0.5979072957190454,0.5556528202502814,0.014887788038679264,0.012309009177142841
50000,100,0,25,0.01,25,relu,8,0.6219715312935652,0.6142226135446474,0.019186323211322243,0.013450085197544658
50000,100,0,25,0.01,25,relu,9,0.5661834185641365,0.5320670638633118,0.015134203789039683,0.013046877320824667
50000,100,0,25,0.01,25,relu,10,0.6408301010598308,0.6120174043790375,0.024473969805338176,0.018717750630578223
50000,100,0,25,0.01,25,relu,11,0.6214044552902898,0.6250759535850092,0.016855755184079762,0.02058338221273172
50000,100,0,25,0.01,25,relu,12,0.6263923750680171,0.6010538695125591,0.02196314161439524,0.020522754232297068
50000,100,0,25,0.01,25,relu,13,0.6185248411232298,0.6192438674134215,0.018802403040442752,0.019339482340025645
50000,100,0,25,0.01,25,relu,14,0.5611259912617599,0.6181759757402234,0.012958997500940213,0.017895233483423922
50000,100,0,25,0.01,25,relu,15,0.5762498685159102,0.584535290329698,0.014831994567628966,0.021295206686930673
50000,100,0,25,0.01,25,relu,16,0.6134262996448175,0.6257257887817704,0.013801500277343743,0.016578252062923352
50000,100,0,25,0.01,25,relu,17,0.6087105320657755,0.6235199402298239,0.015375004521182182,0.01655972488751209
50000,100,0,25,0.01,25,relu,18,0.5808177815182071,0.5977688640934624,0.011823564967697384,0.013186433842423153
50000,100,0,25,0.01,25,relu,19,0.5603527111038704,0.5940105805694518,0.011695163796717499,0.016022899609070808
50000,100,0,25,0.01,25,relu,20,0.5608602601042769,0.5842411011799756,0.012609530671058218,0.014870476684837904
50000,100,0,25,0.01,25,relu,21,0.6632683562664158,0.6664155298130071,0.021400579092070382,0.027812287378949745
50000,100,0,25,0.01,25,relu,22,0.6113060202020202,0.6161415757575758,0.01941245218039925,0.019431398272250294
50000,100,0,25,0.01,25,relu,23,0.6178233989971631,0.6153520656691274,0.0179136494206993,0.024304338175763895
50000,100,0,25,0.01,25,relu,24,0.5813882140576562,0.5796830017444536,0.01732370020840114,0.018077582970824034
50000,100,0,25,0.01,30,identity,0,0.6908036238023856,0.7188740914544213,0.029288145508963845,0.03966587243546069
50000,100,0,25,0.01,30,identity,1,0.6414680073957322,0.6487267115260266,0.027912681444309674,0.025320860795245367
50000,100,0,25,0.01,30,identity,2,0.7114895488887176,0.7284659860300942,0.04351473723243419,0.036554273600916724
50000,100,0,25,0.01,30,identity,3,0.7154847707063564,0.7089031571084605,0.030778848102180387,0.02555772550058029
50000,100,0,25,0.01,30,identity,4,0.7478594105135852,0.7528208864190837,0.03952578111573114,0.042270004382058905
50000,100,0,25,0.01,30,identity,5,0.7029095585259455,0.7121513071145751,0.03321763281935241,0.03652987116576298
50000,100,0,25,0.01,30,identity,6,0.7154065103269245,0.7238454897090717,0.0389724095892436,0.03577056246716886
50000,100,0,25,0.01,30,identity,7,0.6885671929454731,0.6765363334966832,0.02788674341000493,0.02402780412198816
50000,100,0,25,0.01,30,identity,8,0.6944603419179691,0.7188150267811284,0.01990447334382399,0.021409892303555396
50000,100,0,25,0.01,30,identity,9,0.6696227804234107,0.6708496584906058,0.024094516374532186,0.02324053025402886
50000,100,0,25,0.01,30,identity,10,0.7063487839333277,0.730588617518368,0.05008779412158022,0.038582782053733375
50000,100,0,25,0.01,30,identity,11,0.747160928495825,0.7453735691324631,0.039678722187379674,0.048973999319800544
50000,100,0,25,0.01,30,identity,12,0.7128826947043233,0.7210026153657123,0.055515459344489086,0.04237561006287253
50000,100,0,25,0.01,30,identity,13,0.7140885757604687,0.6971410526625001,0.04185982287095114,0.04851862723544427
50000,100,0,25,0.01,30,identity,14,0.6565597091700212,0.6603291335390898,0.025893065321822777,0.02261114815893664
50000,100,0,25,0.01,30,identity,15,0.6657449952665727,0.634912938290989,0.029372020619779844,0.023167215163509468
50000,100,0,25,0.01,30,identity,16,0.7210549379583929,0.7121501510678537,0.04441785660903236,0.044448173626539064
50000,100,0,25,0.01,30,identity,17,0.7424329876238457,0.7451513089214349,0.026628867546325034,0.03456226595004544
50000,100,0,25,0.01,30,identity,18,0.7167130072674429,0.7206170803385389,0.04737456708571272,0.031138037268366135
50000,100,0,25,0.01,30,identity,19,0.6776025521662292,0.7031700343203484,0.03204168205719367,0.02855495435334516
50000,100,0,25,0.01,30,identity,20,0.6494129522913481,0.6470822797836058,0.02177295867230368,0.025758457998664434
50000,100,0,25,0.01,30,identity,21,0.7777089703634013,0.7927973950370457,0.054561042299786235,0.05032333364255989
50000,100,0,25,0.01,30,identity,22,0.7284906666666666,0.7223014141414139,0.04867623540661696,0.03928743233008596
50000,100,0,25,0.01,30,identity,23,0.7456314614241555,0.750736367272448,0.0412376450201023,0.043159095210775836
50000,100,0,25,0.01,30,identity,24,0.6849612606951619,0.6987492221816219,0.04086958121562833,0.0374100510205071
50000,100,0,25,0.01,30,relu,0,0.5688008284632152,0.5766678494958493,0.014325423780257977,0.01478147366601395
50000,100,0,25,0.01,30,relu,1,0.571209182023925,0.5658518226640801,0.01331654835783476,0.018717272576453562
50000,100,0,25,0.01,30,relu,2,0.6239912172691948,0.6283800761846755,0.01704257779554745,0.02585910328320412
50000,100,0,25,0.01,30,relu,3,0.6170532594847018,0.6085804004460584,0.019861403541482546,0.01665376187936317
50000,100,0,25,0.01,30,relu,4,0.5961212648831244,0.5693309892195091,0.018904451253820183,0.014650312951456516
50000,100,0,25,0.01,30,relu,5,0.570781601735235,0.5872508537229033,0.01669936751978199,0.018470179084187646
50000,100,0,25,0.01,30,relu,6,0.6415736457375532,0.6379322118415682,0.020335357389267467,0.023129780867845923
50000,100,0,25,0.01,30,relu,7,0.5574864004336529,0.5449867084258451,0.012681406802448083,0.012029934071595992
50000,100,0,25,0.01,30,relu,8,0.6034859490791693,0.5844317264656248,0.014958584418180985,0.012205706862498396
50000,100,0,25,0.01,30,relu,9,0.5984585768917838,0.5617718159202231,0.018982443754495426,0.016779996545156765
50000,100,0,25,0.01,30,relu,10,0.5993045344971735,0.6419816331463825,0.01713791012931804,0.02031701180994409
50000,100,0,25,0.01,30,relu,11,0.6431914961386178,0.6218656895605472,0.020550281910712342,0.016872741931135176
50000,100,0,25,0.01,30,relu,12,0.6098014779449193,0.5721542539186604,0.015892938838007867,0.011383234560006311
50000,100,0,25,0.01,30,relu,13,0.6231214019477135,0.6005992553371179,0.020593545532484166,0.015323821062282847
50000,100,0,25,0.01,30,relu,14,0.5771715399160041,0.5804721112624781,0.013858469306319322,0.01825092569208965
50000,100,0,25,0.01,30,relu,15,0.5786172235178215,0.5422615519997126,0.014100060035079671,0.013064909431958054
50000,100,0,25,0.01,30,relu,16,0.596354767286314,0.6213393433737718,0.01691749713917632,0.02199947121461686
50000,100,0,25,0.01,30,relu,17,0.6360010368935172,0.6277591431061852,0.015324386003106337,0.01485948142884554
50000,100,0,25,0.01,30,relu,18,0.5815598344256744,0.5456962062545105,0.01293439396180102,0.01075678710492287
50000,100,0,25,0.01,30,relu,19,0.579229220852364,0.5467747591116293,0.015627377948437243,0.01277728895123633
50000,100,0,25,0.01,30,relu,20,0.5426381375200909,0.518522874279666,0.013447038061298499,0.011965820444595189
50000,100,0,25,0.01,30,relu,21,0.6594498510329688,0.6658311772315653,0.0210468542283733,0.030515824091802028
50000,100,0,25,0.01,30,relu,22,0.6127424646464648,0.6299810909090909,0.02270783270276701,0.025790200494843155
50000,100,0,25,0.01,30,relu,23,0.6393681015233267,0.6205430576194146,0.015973917319974718,0.014811671927339719
50000,100,0,25,0.01,30,relu,24,0.5498535076869605,0.5938903863432166,0.02079368301284112,0.0197934862962533
